Key;Item Type;Publication Year;Author;Title;Journal Name;DOI
KZASN8LM;journalArticle;2025;"Choi, B.; Hummel, M.A.";Spatiotemporal air quality prediction using stochastic advection-diffusion model for multimodal data fusion;Environmental Research Letters;10.1088/1748-9326/ada397
F8R5MUSA;journalArticle;2024;"Alam, N.M.; Mitra, S.; Pandey, S.K.; Jana, C.; Ray, M.; Ghosh, S.; Paul Mazumdar, S.; Shankar, S.V.; Saha, R.; Kar, G.";Enhanced Spatio-Temporal Modeling for Rainfall Forecasting: A High-Resolution Grid Analysis;Water (Switzerland);10.3390/w16131891
7JZ33GD9;journalArticle;2024;"Yin, X.; Aiken, J.M.; Harris, R.; Bamber, J.L.";A Bayesian spatio-temporal model of COVID-19 spread in England;Scientific Reports;10.1038/s41598-024-60964-0
AIA2Y6SH;journalArticle;2024;"Kalthoum, S.; Mzoughi, S.; Gharbi, R.; Lachtar, M.; Bel Haj Mohamed, B.; Hajlaoui, H.; Khalfaoui, W.; Dhaouadi, A.; Ben Sliman, I.; Ben Salah, C.; Kessa, H.; Benkirane, H.; Fekih, A.J.; Barrak, K.; Sayari, H.; Bahloul, C.; Porphyre, T.";Factors associated with the spatiotemporal distribution of dog rabies in Tunisia;PLoS Neglected Tropical Diseases;10.1371/journal.pntd.0012296
3Z36QWGF;journalArticle;2024;"Yu, W.; Zhuang, M.; Geng, M.; Hu, K.; Zhao, Q.; Yan, J.";Association between hydrometeorological conditions and infectious diarrhea in mainland China: a spatiotemporal modeling study;Environmental Research Letters;10.1088/1748-9326/ad44b4
V5A7YB7Z;journalArticle;2024;"Deng, L.-L.; Zhao, F.; Li, Z.-W.; Zhang, W.-W.; He, G.-X.; Ren, X.";Epidemiological characteristics of tuberculosis incidence and its macro-influence factors in Chinese mainland during 2014–2021;Infectious Diseases of Poverty;10.1186/s40249-024-01203-6
Z9FQVXN9;journalArticle;2024;"Ragbir, P.; Kaduwela, A.; Lan, X.; Watts, A.; Kong, Z.";A Control-Theoretic Spatio-Temporal Model for Wildfire Smoke Propagation Using UAV-Based Air Pollutant Measurements;Drones;10.3390/drones8050169
UCTTV5RI;journalArticle;2024;"Soukavong, M.; Thinkhamrop, K.; Pratumchart, K.; Soulaphy, C.; Xangsayarath, P.; Mayxay, M.; Phommachanh, S.; Kelly, M.; Wangdi, K.; Clements, A.C.A.; Suwannatrai, A.T.";Bayesian spatio-temporal analysis of dengue transmission in Lao PDR;Scientific Reports;10.1038/s41598-024-71807-3
7T3J7SQZ;journalArticle;2024;"Bofa, A.; Zewotir, T.";A bayesian spatio-temporal dynamic analysis of food security in Africa;Scientific Reports;10.1038/s41598-024-65989-z
GVLD8RSM;journalArticle;2024;"Tam, L.T.; Thinkhamrop, K.; Suttiprapa, S.; Clements, A.C.A.; Wangdi, K.; Suwannatrai, A.T.";Bayesian spatio-temporal modelling of environmental, climatic, and socio-economic influences on malaria in Central Vietnam;Malaria Journal;10.1186/s12936-024-05074-y
V6CENTF5;journalArticle;2025;"Shannon, E.S.; Finley, A.O.; Domke, G.M.; May, P.B.; Andersen, H.-E.; Gaines III, G.C.; Banerjee, S.";Toward spatio-temporal models to support national-scale forest carbon monitoring and reporting;Environmental Research Letters;10.1088/1748-9326/ad9e07
7FB7Q7WQ;journalArticle;2024;"Staeudle, T.M.; Parmentier, B.; Poos, J.J.";Accounting for spatio-temporal distribution changes in size-structured abundance estimates for a data-limited stock of Raja clavata;ICES Journal of Marine Science;10.1093/icesjms/fsae106
WYBZEEPG;journalArticle;2024;"Domínguez, A.; Dadvand, P.; Cirach, M.; Arévalo, G.; Barril, L.; Foraster, M.; Gascon, M.; Raimbault, B.; Galmés, T.; Goméz-Herrera, L.; Persavento, C.; Samuelsson, K.; Lao, J.; Moreno, T.; Querol, X.; Jerrett, M.; Schwartz, J.; Tonne, C.; Nieuwenhuijsen, M.J.; Sunyer, J.; Basagaña, X.; Rivas, I.";Development of land use regression, dispersion, and hybrid models for prediction of outdoor air pollution exposure in Barcelona;Science of the Total Environment;10.1016/j.scitotenv.2024.176632
P2VP2YA4;journalArticle;2024;"Bo, Y.; Lin, C.; Guo, C.; Wong, M.; Huang, B.; Lau, A.; Huang, Y.; Lao, X.Q.";Chronic exposure to ambient air pollution and the risk of non-alcoholic fatty liver disease: A cross-sectional study in Taiwan and Hong Kong;Ecotoxicology and Environmental Safety;10.1016/j.ecoenv.2024.116245
D96T4APJ;journalArticle;2025;"Wang, K.; Zhang, Y.; Bai, L.; Chen, Y.; Ling, C.";Spatio-temporal modelling of extreme low birth rates in U.S. counties;BMC Public Health;10.1186/s12889-025-21686-8
PCRMJVMU;journalArticle;2024;"Pirani, M.; Lorenz, C.; de Azevedo, T.S.; Barbosa, G.L.; Blangiardo, M.; Chiaravalloti-Neto, F.";Effects of the El Niño-Southern Oscillation and seasonal weather conditions on Aedes aegypti infestation in the State of São Paulo (Brazil): A Bayesian spatio-temporal study;PLoS Neglected Tropical Diseases;10.1371/journal.pntd.0012397
4YNNSRFP;journalArticle;2024;"Braga, A.; Laurini, M.";Spatial heterogeneity in climate change effects across Brazilian biomes;Scientific Reports;10.1038/s41598-024-67244-x
8NFZ3GQP;journalArticle;2024;"Petrof, O.; Neyens, T.; Vaes, B.; Janssens, A.; Faes, C.";Using a general practice research database to assess the spatio-temporal COVID-19 risk;BMC Primary Care;10.1186/s12875-024-02423-3
MP5R5DJ5;journalArticle;2025;"Sultana, A.; Ali, A.M.; Ar Salan, S.; Kabir, M.A.; Hossain, M.M.";Modeling spatial and temporal variability in educational development index of Bangladesh using socio-economic, and demographic data, 2001–2021: A Bayesian approach;PLoS ONE;10.1371/journal.pone.0317030
7FYFCJH9;journalArticle;2024;"Zhang, S.; Amratia, P.; Symons, T.L.; Rumisha, S.F.; Kang, S.Y.; Connell, M.; Uusiku, P.; Katokele, S.; Hamunyela, J.; Ntusi, N.; Soroses, W.; Moyo, E.; Lukubwe, O.; Maponga, C.; Lucero, D.; Gething, P.W.; Cameron, E.";High-resolution spatio-temporal risk mapping for malaria in Namibia: a comprehensive analysis;Malaria Journal;10.1186/s12936-024-05103-w
95X29QNT;journalArticle;2024;"Sando, K.; Wada, R.; Rohmer, J.; Jonathan, P.";Multivariate spatial and spatio-temporal models for extreme tropical cyclone seas;Ocean Engineering;10.1016/j.oceaneng.2024.118365
NGF4XTNL;journalArticle;2024;"Breivik, O.N.; Zimmermann, F.; Johannesen, E.; Ono, K.; Fall, J.; Howell, D.; Nielsen, A.";Incorporation of observation uncertainty in stock assessment using spatio-temporal modeling of catch-at-length and age-at-length survey data;ICES Journal of Marine Science;10.1093/icesjms/fsae079
G6GU2HI6;journalArticle;2024;Briz-Redón, Á.;A Bayesian Aoristic Logistic Regression to Model Spatio-Temporal Crime Risk Under the Presence of Interval-Censored Event Times;Journal of Quantitative Criminology;10.1007/s10940-023-09580-1
KDCQ7LYD;journalArticle;2024;"Barceló, M.A.; Perafita, X.; Saez, M.";Spatiotemporal variability in socioeconomic inequalities in COVID-19 vaccination in Catalonia, Spain;Public Health;10.1016/j.puhe.2023.11.024
FHPPZFDM;journalArticle;2024;"Ishii, K.; Ono, S.; Masago, T.; Ishizuki, M.; Mori, T.; Hanatsuka, Y.";Fine-Scaled Predictive Modeling of Road Surface Conditions and Temperature in Urban Areas;IEEE Transactions on Intelligent Transportation Systems;10.1109/TITS.2024.3433004
5EQV4XKH;journalArticle;2023;"Kosarevych, R.; Jonek-Kowalska, I.; Rusyn, B.; Sachenko, A.; Lutsyk, O.";Analysing Pine Disease Spread Using Random Point Process by Remote Sensing of a Forest Stand;Remote Sensing;10.3390/rs15163941
NSBQN3BU;journalArticle;2024;"Chen, B.; Chen, Z.; Liu, X.C.; Yi, Z.";Bayesian inference-based spatiotemporal modeling with interim activities for EV charging etiquette;Transportation Research Part D: Transport and Environment;10.1016/j.trd.2024.104060
F7BYPAIH;journalArticle;2023;"Herraiz, C.; Vicente, J.; Gortázar, C.; Acevedo, P.";Large scale spatio-temporal modelling of risk factors associated with tuberculosis exposure at the wildlife-livestock interface;Preventive Veterinary Medicine;10.1016/j.prevetmed.2023.106049
EMFP4VXL;journalArticle;2023;"Lindmark, M.; Anderson, S.C.; Gogina, M.; Casini, M.";Evaluating drivers of spatiotemporal variability in individual condition of a bottom-associated marine fish, Atlantic cod (Gadus morhua);ICES Journal of Marine Science;10.1093/icesjms/fsad084
A2S452XG;journalArticle;2024;"Foo, Y.; Flegg, J.A.";A spatio-temporal model of multi-marker antimalarial resistance;Journal of the Royal Society Interface;10.1098/rsif.2023.0570
BJRNAQKJ;journalArticle;2024;"Pasanen, T.-M.; Helske, J.; Högmander, H.; Ketola, T.";Spatio-temporal modeling of co-dynamics of smallpox, measles, and pertussis in pre-healthcare Finland;PeerJ;10.7717/peerj.18155
2RZ4MU7M;journalArticle;2023;"Olmos, M.; Ianelli, J.; Ciannelli, L.; Spies, I.; McGilliard, C.R.; Thorson, J.T.";Estimating climate-driven phenology shifts and survey availability using fishery-dependent data;Progress in Oceanography;10.1016/j.pocean.2023.103035
YCXNN7NA;journalArticle;2024;Barazzetti, L.;Spatio-temporal analysis of georeferenced time-series applied to structural monitoring;Journal of Civil Structural Health Monitoring;10.1007/s13349-023-00743-z
IZ3NJF37;journalArticle;2023;"Gayawan, E.; Somo-Aina, O.; Kuti, O.";Analysis of the space-time trends in open defecation in Nigeria;Environmental Science and Pollution Research;10.1007/s11356-023-26161-8
G3XD74BG;journalArticle;2023;"Modethed, W.; Singhla, T.; Boonsri, K.; Pringproa, K.; Sthitmatee, N.; Vinitchaikul, P.; Sansamur, C.; Kreausukon, K.; Punyapornwithaya, V.";Identifying the patterns and sizes of the first lumpy skin disease outbreak clusters in Northern Thailand with a high degree of dairy farm aggregation using spatio-temporal models;PLoS ONE;10.1371/journal.pone.0291692
9PH97VMF;journalArticle;2023;"McDonald, R.R.; Keith, D.M.; Sameoto, J.A.; Mills Flemming, J.";Integrating habitat features into spatio-temporal biomass dynamics models for a better understanding of stock productivity: a case study of sea scallop in the Bay of Fundy;ICES Journal of Marine Science;10.1093/icesjms/fsad103
942A9UFK;journalArticle;2023;"Katale, R.N.; Gemechu, D.B.";Spatio-temporal analysis of malaria incidence and its risk factors in North Namibia;Malaria Journal;10.1186/s12936-023-04577-4
9A8C52IX;journalArticle;2023;"Semakula, M.; Niragire, F.; Nsanzimana, S.; Remera, E.; Faes, C.";Spatio-temporal dynamic of the COVID-19 epidemic and the impact of imported cases in Rwanda;BMC Public Health;10.1186/s12889-023-15888-1
ZT4LHNEC;journalArticle;2023;"Shirzad, R.; Alesheikh, A.A.; Asgharzadeh, M.; Hoseini, B.; Lotfata, A.";Spatio-temporal modeling of human leptospirosis prevalence using the maximum entropy model;BMC Public Health;10.1186/s12889-023-17391-z
7XKCGTTW;journalArticle;2023;"García, J.A.; Acero, F.J.; Portero, J.";A Bayesian hierarchical spatio-temporal model for extreme temperatures in Extremadura (Spain) simulated by a Regional Climate Model;Climate Dynamics;10.1007/s00382-022-06638-x
4FD6GVC3;journalArticle;2023;"Valente, F.; Laurini, M.";A spatio-temporal analysis of fire occurrence patterns in the Brazilian Amazon;Scientific Reports;10.1038/s41598-023-39875-z
8UWZB8I5;journalArticle;2023;"Ma, S.; Yu, K.; Tang, M.-L.; Pan, J.; Härdle, W.K.; Tian, M.";A Bayesian multistage spatio-temporally dependent model for spatial clustering and variable selection;Statistics in Medicine;10.1002/sim.9889
K8IE39GH;journalArticle;2023;"Wang, H.; Molina, J.-M.; Dray-Spira, R.; Schmidt, A.J.; Hickson, F.; van de Vijver, D.; Jonas, K.J.";Spatio-temporal changes in pre-exposure prophylaxis uptake among MSM in mainland France between 2016 and 2021: a Bayesian small area approach with MSM population estimation;Journal of the International AIDS Society;10.1002/jia2.26089
JU37PPEQ;journalArticle;2023;Jankiewicz, M.;Regional economic growth and unemployment in the European Union – a spatio-temporal analysis at the NUTS-2 level (2013–2019);Hungarian Geographical Bulletin;10.15201/hungeobull.72.2.6
5K83I7M8;journalArticle;2023;"Nguyen, M.H.; Nguyen, T.H.T.; Molenberghs, G.; Abrams, S.; Hens, N.; Faes, C.";The impact of national and international travel on spatio-temporal transmission of SARS-CoV-2 in Belgium in 2021;BMC Infectious Diseases;10.1186/s12879-023-08368-9
G6QM4YWG;journalArticle;2023;"Dabral, A.; Shankhwar, R.; Martins-Ferreira, M.A.C.; Pandey, S.; Kant, R.; Meena, R.K.; Chandra, G.; Ginwal, H.S.; Thakur, P.K.; Bhandari, M.S.; Sahu, N.; Nayak, S.";Phenotypic, Geological, and Climatic Spatio-Temporal Analyses of an Exotic Grevillea robusta in the Northwestern Himalayas;Sustainability (Switzerland);10.3390/su151612292
4HDQCH6V;journalArticle;2023;"Teixeira, P.C.; Ordens, C.M.; McIntyre, N.; Pagliero, L.; Crosbie, R.";Spatio-temporal distribution of atmospheric chloride deposition over a small island;Hydrological Processes;10.1002/hyp.15052
KGH5UCNJ;journalArticle;2023;"Han, Q.; Shan, X.; Jin, X.; Gorfine, H.";Overcoming gaps in a seasonal time series of Japanese anchovy abundance to analyse interannual trends;Ecological Indicators;10.1016/j.ecolind.2023.110189
9DBND7XB;journalArticle;2023;"Palma, M.; Maggio, S.; Cappello, C.; Congedi, A.; De Iaco, S.";Spatio-temporal modeling of groundwater quality deterioration and resource depletion;Hydrogeology Journal;10.1007/s10040-023-02692-9
G3YBBZKG;journalArticle;2023;"Grüss, A.; Charsley, A.R.; Thorson, J.T.; Anderson, O.F.; O'Driscoll, R.L.; Wood, B.; Breivik, O.N.; O'Leary, C.A.";Integrating survey and observer data improves the predictions of New Zealand spatio-temporal models;ICES Journal of Marine Science;10.1093/icesjms/fsad129
V448974C;journalArticle;2023;"Orozco-Acosta, E.; Riebler, A.; Adin, A.; Ugarte, M.D.";A scalable approach for short-term disease forecasting in high spatial resolution areal data;Biometrical Journal;10.1002/bimj.202300096
743WZYN2;journalArticle;2023;"Hosseini-Shokouh, S.-M.; Ghanei, M.; Mousavi, B.; Bagheri, H.; Bahadori, M.; Meskarpour-Amiri, M.; Mehdizadeh, P.";Social disparities and inequalities in healthcare access and expenditures among Iranians exposed to sulfur mustard: a national study using spatio-temporal analysis;BMC Health Services Research;10.1186/s12913-023-10352-7
CNFS7989;journalArticle;2023;"Liu, X.; Sun, Y.; Yin, Y.; Dai, X.; Bergquist, R.; Gao, F.; Liu, R.; Liu, J.; Wang, F.; Lv, X.; Zhang, Z.";Influence of urbanization on schistosomiasis infection risk in Anhui Province based on sixteen year's longitudinal surveillance data: a spatio-temporal modelling study;Infectious Diseases of Poverty;10.1186/s40249-023-01163-3
2FSCALHS;journalArticle;2023;"Espinasse, M.; Mikkelsen, E.; Sørbye, S.H.; Skern-Mauritzen, M.; Falk-Andersson, J.; Fauchald, P.";Seafood production in Northern Norway: Analyzing variation and co-development in aquaculture and coastal fisheries;Marine Policy;10.1016/j.marpol.2023.105777
I5MWS8JK;journalArticle;2023;"Fard, P.; Chung, M.K.J.; Estiri, H.; Patel, C.J.";Spatio-temporal interpolation and delineation of extreme heat events in California between 2017 and 2021;Environmental Research;10.1016/j.envres.2023.116984
V64HQ6UX;journalArticle;2023;"Vicente, G.; Goicoa, T.; Ugarte, M.D.";Multivariate Bayesian spatio-temporal P-spline models to analyze crimes against women;Biostatistics;10.1093/biostatistics/kxab042
Z98SXLP4;journalArticle;2023;"Zhan, Y.; Gu, H.; Li, X.";Study on association factors of intestinal infectious diseases based-Bayesian spatio-temporal model;BMC Infectious Diseases;10.1186/s12879-023-08665-3
286CVFIF;journalArticle;2023;"Nguyen, V.-A.; Bartels, D.W.; Gilligan, C.A.";Modelling the spread and mitigation of an emerging vector-borne pathogen: Citrus greening in the U.S.;PLoS Computational Biology;10.1371/journal.pcbi.1010156
YVRIYVCP;journalArticle;2022;"Kolář, J.; Macek, M.; Tkáč, P.; Novák, D.; Abraham, V.";Long-term demographic trends and spatio-temporal distribution of past human activity in Central Europe: Comparison of archaeological and palaeoecological proxies;Quaternary Science Reviews;10.1016/j.quascirev.2022.107834
XTWUJTKC;journalArticle;2022;"Ayele, G.T.; Seka, A.M.; Taddese, H.; Jemberrie, M.A.; Ndehedehe, C.E.; Demissie, S.S.; Awange, J.L.; Jeong, J.; Hamilton, D.P.; Melesse, A.M.";Relationship of Attributes of Soil and Topography with Land Cover Change in the Rift Valley Basin of Ethiopia;Remote Sensing;10.3390/rs14143257
W4GY5Q3X;journalArticle;2022;"Zhang, B.; Li, F.; Sang, H.; Cressie, N.";Inferring Changes in Arctic Sea Ice through a Spatio-Temporal Logistic Autoregression Fitted to Remote-Sensing Data;Remote Sensing;10.3390/rs14235995
VUDBU6CA;journalArticle;2023;"Adams, J.; Khan, N.; Morris, A.; Elhabian, S.";Learning spatiotemporal statistical shape models for non-linear dynamic anatomies;Frontiers in Bioengineering and Biotechnology;10.3389/fbioe.2023.1086234
MMG2L8RM;journalArticle;2022;"Briz-Redón, Á.; Serrano-Aroca, Á.";On the association between COVID-19 vaccination levels and incidence and lethality rates at a regional scale in Spain;Stochastic Environmental Research and Risk Assessment;10.1007/s00477-021-02166-y
PDV2MCYD;journalArticle;2023;"Armando, C.J.; Rocklöv, J.; Sidat, M.; Tozan, Y.; Mavume, A.F.; Bunker, A.; Sewes, M.O.";Climate variability, socio-economic conditions and vulnerability to malaria infections in Mozambique 2016–2018: a spatial temporal analysis;Frontiers in Public Health;10.3389/fpubh.2023.1162535
JEX7CNLT;journalArticle;2022;"Suzuki, K.K.; Kuwano, Y.; Kanamori, Y.; Kawauchi, Y.; Uchimura, Y.; Yasuda, M.; Kondoh, H.; Oka, T.";A 25-Year Study of the Population Dynamics of a Harvested Population of Sika Deer on Kyushu Island, Japan;Forests;10.3390/f13050760
QGVP3PAD;journalArticle;2023;"Li, G.; Denise, H.; Diggle, P.; Grimsley, J.; Holmes, C.; James, D.; Jersakova, R.; Mole, C.; Nicholson, G.; Smith, C.R.; Richardson, S.; Rowe, W.; Rowlingson, B.; Torabi, F.; Wade, M.J.; Blangiardo, M.";A spatio-temporal framework for modelling wastewater concentration during the COVID-19 pandemic;Environment International;10.1016/j.envint.2023.107765
BDKN66DU;journalArticle;2022;"Di Biagio, K.; Baldini, M.; Dolcini, J.; Serafini, P.; Sarti, D.; Dorillo, I.; Ranzi, A.; Settimo, G.; Bartolacci, S.; Simeoni, T.V.; Prospero, E.";Atmospheric particulate matter effects on SARS-CoV-2 infection and spreading dynamics: A spatio-temporal point process model;Environmental Research;10.1016/j.envres.2022.113617
A5RKSGSQ;journalArticle;2022;"Ibeji, J.U.; Mwambi, H.; Iddrisu, A.-K.";Bayesian spatio-temporal modelling and mapping of malaria and anaemia among children between 0 and 59 months in Nigeria;Malaria Journal;10.1186/s12936-022-04319-y
2EF2BIQ3;journalArticle;2023;"Leandro, A.D.S.; Ayala, M.J.C.; Lopes, R.D.; Martins, C.A.; Maciel-de-Freitas, R.; Villela, D.A.M.";Entomo-Virological Aedes aegypti Surveillance Applied for Prediction of Dengue Transmission: A Spatio-Temporal Modeling Study;Pathogens;10.3390/pathogens12010004
9YLTFD6W;journalArticle;2022;"Barak-Ventura, R.; Marín, M.R.; Porfiri, M.";A spatiotemporal model of firearm ownership in the United States;Patterns;10.1016/j.patter.2022.100546
3PCM5L2M;journalArticle;2023;"Li, H.; Liang, D.; Zhou, Y.; Shi, Y.; Feng, D.; Shi, S.";Spatiotemporal charging demand models for electric vehicles considering user strategies;Frontiers in Energy Research;10.3389/fenrg.2022.1013154
ASBJ7XF2;journalArticle;2022;"Celani, A.; Giudici, P.";Endemic–epidemic models to understand COVID-19 spatio-temporal evolution;Spatial Statistics;10.1016/j.spasta.2021.100528
9XMS72ET;journalArticle;2022;"Santos-Fernandez, E.; Ver Hoef, J.M.; Peterson, E.E.; McGree, J.; Isaak, D.J.; Mengersen, K.";Bayesian spatio-temporal models for stream networks;Computational Statistics and Data Analysis;10.1016/j.csda.2022.107446
7F4PNJB5;journalArticle;2023;"Amaral, A.V.R.; González, J.A.; Moraga, P.";Spatio-temporal modeling of infectious diseases by integrating compartment and point process models;Stochastic Environmental Research and Risk Assessment;10.1007/s00477-022-02354-4
STW8T49S;journalArticle;2022;"Fairbanks, E.L.; Baylis, M.; Daly, J.M.; Tildesley, M.J.";Inference for a spatio-temporal model with partial spatial data: African horse sickness virus in Morocco;Epidemics;10.1016/j.epidem.2022.100566
2FC4VRUJ;journalArticle;2022;"Saez, M.; Barceló, M.A.";Spatial prediction of air pollution levels using a hierarchical Bayesian spatiotemporal model in Catalonia, Spain;Environmental Modelling and Software;10.1016/j.envsoft.2022.105369
H3VIEDEH;journalArticle;2023;"Jeong, J.; Kim, M.; Choi, J.";Investigating the spatio-temporal variation of hepatitis A in Korea using a Bayesian model;Frontiers in Public Health;10.3389/fpubh.2022.1085077
MYLKNLFF;journalArticle;2022;"Campbell, L.P.; Guralnick, R.P.; Giordano, B.V.; Sallam, M.F.; Bauer, A.M.; Tavares, Y.; Allen, J.M.; Efstathion, C.; Bartlett, S.; Wishard, R.; Xue, R.-D.; Allen, B.; Tressler, M.; Qualls, W.; Burkett-Cadena, N.D.";Spatiotemporal Modeling of Zoonotic Arbovirus Transmission in Northeastern Florida Using Sentinel Chicken Surveillance and Earth Observation Data;Remote Sensing;10.3390/rs14143388
8N54AVNN;journalArticle;2022;"Omori, K.L.; Thorson, J.T.";Identifying species complexes based on spatial and temporal clustering from joint dynamic species distribution models;ICES Journal of Marine Science;10.1093/icesjms/fsac015
LXP48ZS9;journalArticle;2022;"Punyapornwithaya, V.; Seesupa, S.; Phuykhamsingha, S.; Arjkumpa, O.; Sansamur, C.; Jarassaeng, C.";Spatio-temporal patterns of lumpy skin disease outbreaks in dairy farms in northeastern Thailand;Frontiers in Veterinary Science;10.3389/fvets.2022.957306
IV6ZWIRB;journalArticle;2022;"Jana, S.; Fu, S.H.; Gelband, H.; Brown, P.; Jha, P.";Spatio-temporal modelling of malaria mortality in India from 2004 to 2013 from the Million Death Study;Malaria Journal;10.1186/s12936-022-04112-x
Y7IUXM2A;journalArticle;2021;"Holcomb, K.M.; Reiner, R.C.; Barker, C.M.";Spatio-temporal impacts of aerial adulticide applications on populations of West Nile virus vector mosquitoes;Parasites and Vectors;10.1186/s13071-021-04616-6
TCULXRZ5;journalArticle;2022;"Briz-Redón, Á.; Iftimi, A.; Correcher, J.F.; De Andrés, J.; Lozano, M.; Romero-García, C.";A comparison of multiple neighborhood matrix specifications for spatio-temporal model fitting: a case study on COVID-19 data;Stochastic Environmental Research and Risk Assessment;10.1007/s00477-021-02077-y
WM4BESRV;journalArticle;2021;"Freitas, L.P.; Schmidt, A.M.; Cossich, W.; Cruz, O.G.; Carvalho, M.S.";Spatio-temporal modelling of the first chikungunya epidemic in an intra-urban setting: The role of socioeconomic status, environment and temperature;PLoS Neglected Tropical Diseases;10.1371/journal.pntd.0009537
Z5YBJCWA;journalArticle;2021;"Naik, R.; Sharma, L.";Spatio-temporal modelling for the evaluation of an altered Indian saline Ramsar site and its drivers for ecosystem management and restoration;PLoS ONE;10.1371/journal.pone.0248543
G9T8B9HB;journalArticle;2021;"Choi, B.; Bergés, M.; Bou-Zeid, E.; Pozzi, M.";Short-term probabilistic forecasting of meso-scale near-surface urban temperature fields;Environmental Modelling and Software;10.1016/j.envsoft.2021.105189
J4MBMVJ7;journalArticle;2021;"Saavedra, P.; Santana, A.; Bello, L.; Pacheco, J.-M.; Sanjuán, E.";A Bayesian spatio-temporal analysis of mortality rates in Spain: application to the COVID-19 2020 outbreak;Population Health Metrics;10.1186/s12963-021-00259-y
6CKUBS22;journalArticle;2022;"Neupane, N.; Peruzzi, M.; Arab, A.; Mayor, S.J.; Withey, J.C.; Ries, L.; Finley, A.O.";A novel model to accurately predict continental-scale timing of forest green-up;International Journal of Applied Earth Observation and Geoinformation;10.1016/j.jag.2022.102747
YSJB4FWG;journalArticle;2021;Jankiewicz, M.;The convergence of energy use from renewable sources in the european countries: Spatio-temporal approach;Energies;10.3390/en14248378
WQHT39F3;journalArticle;2021;"Unosson, M.; Brancaccio, M.; Hastings, M.; Johansen, A.M.; Finkenstädt, B.";A spatio-temporal model to reveal oscillator phenotypes in molecular clocks: Parameter estimation elucidates circadian gene transcription dynamics in single-cells;PLoS Computational Biology;10.1371/journal.pcbi.1009698
5UQH8RMA;journalArticle;2021;"Beloconi, A.; Probst-Hensch, N.M.; Vounatsou, P.";Spatio-temporal modelling of changes in air pollution exposure associated to the COVID-19 lockdown measures across Europe;Science of the Total Environment;10.1016/j.scitotenv.2021.147607
TUUWU9Y9;journalArticle;2021;"Liu, B.; Zhu, L.; Zou, J.; Chen, H.-S.; Miller, K.D.; Jemal, A.; Siegel, R.L.; Feuer, E.J.";Updated methodology for projecting U.S.- And state-level cancer counts for the current calendar year: Part i: Spatio-temporal modeling for cancer incidence;Cancer Epidemiology Biomarkers and Prevention;10.1158/1055-9965.EPI-20-1727
TTMM7Z97;journalArticle;2021;"Tang, S.; Shi, L.; Chen, W.; Zhao, P.; Zheng, H.; Yang, B.; Wang, C.; Ling, L.";Spatiotemporal distribution and sociodemographic and socioeconomic factors associated with primary and secondary syphilis in guangdong, china, 2005–2017;PLoS Neglected Tropical Diseases;10.1371/journal.pntd.0009621
XYNHE3HB;journalArticle;2021;"Kong, L.; Hu, Y.; Wang, Q.; Chen, X.; Yao, T.; Wang, Y.; Jin, H.; Fan, L.; Du, W.";Could COVID-19 pandemic be stopped with joint efforts of travel restrictions and public health countermeasures? A modelling study;BMJ Open;10.1136/bmjopen-2020-046157
XCXUXGJF;journalArticle;2021;"Valente, F.; Laurini, M.";Pre-harvest sugarcane burning: A statistical analysis of the environmental impacts of a regulatory change in the energy sector;Cleaner Engineering and Technology;10.1016/j.clet.2021.100255
FRUKNPZT;journalArticle;2021;"Carroll, R.; Prentice, C.R.";Community vulnerability and mobility: What matters most in spatio-temporal modeling of the COVID-19 pandemic?;Social Science and Medicine;10.1016/j.socscimed.2021.114395
TYJT9PYV;journalArticle;2022;"Deslatte, A.; Szmigiel-Rawska, K.; Tavares, A.F.; Ślawska, J.; Karsznia, I.; Łukomska, J.";Land use institutions and social-ecological systems: A spatial analysis of local landscape changes in Poland;Land Use Policy;10.1016/j.landusepol.2021.105937
TND7XT47;journalArticle;2022;"Gaeta, A.; Leone, G.; Di Bucchianico, A.D.M.; Cusano, M.; Gaddi, R.; Pelliccioni, A.; Reatini, M.A.; Bernardino, A.D.; Cattani, G.";Spatio-temporal modeling of small-scale ultrafine particle variability using generalized additive models;Sustainability (Switzerland);10.3390/su14010313
ZKVA9H6K;journalArticle;2021;Briz-Redón, Á.;The impact of modelling choices on modelling outcomes: a spatio-temporal study of the association between COVID-19 spread and environmental conditions in Catalonia (Spain);Stochastic Environmental Research and Risk Assessment;10.1007/s00477-020-01965-z
LACSHAPM;journalArticle;2021;"Lome-Hurtado, A.; Li, G.; Touza-Montero, J.; White, P.C.L.";Patterns of low birth weight in greater Mexico City: A Bayesian spatio-temporal analysis;Applied Geography;10.1016/j.apgeog.2021.102521
6L2HYBUZ;journalArticle;2021;"Roy, S.; Biswas, P.; Ghosh, P.";Quantifying Mobility and Mixing Propensity in the Spatiotemporal Context of a Pandemic Spread;IEEE Transactions on Emerging Topics in Computational Intelligence;10.1109/TETCI.2021.3059007
UWKI5WST;journalArticle;2022;"Bai, Y.; Safikhani, A.; Michailidis, G.";Hybrid Modeling of Regional COVID-19 Transmission Dynamics in the U.S.;IEEE Journal on Selected Topics in Signal Processing;10.1109/JSTSP.2022.3140703
